feature,shap_importance
TYPE_HABITATION,0.1648222498456985
ZONIER,0.06345236094618692
SITUATION_JURIDIQUE,0.035034627211429685
OBJETS_DE_VALEUR,0.03046639183702115
ANNEE,0.02045441709982348
EXPO,0.01987380269413289
NBSIN_TYPE1_AN3,0.0172080115497783
NB_PIECES,0.016661260883419272
NBSIN_TYPE2_AN1,0.013539490882383846
NBSIN_TYPE2_AN2,0.010160917987105429
NIVEAU_JURIDIQUE,0.006325179067510416
TYPE_RESIDENCE,0.0058690981405158235
FORMULE,0.004918438063620774
NBSIN_TYPE1_AN1,0.0029151120437591617
NBSIN_TYPE2_AN3,0.0020380164593409196
VALEUR_DES_BIENS,0.0007804083355226889
